epoch,train_loss,val_loss,train_macro_f1,val_macro_f1,grad_norm_mean,grad_norm_max,epoch_seconds,outer_fold
0,0.4677735077595648,0.26628121733665466,0.7675302708994122,0.7920439256870151,0.8746711677014042,2.7917370796203613,0.498,0
1,0.326648174399279,0.2061106264591217,0.8074907029500611,0.8456249477290657,1.1389664398177004,2.5478498935699463,0.495,0
2,0.2968546359610589,0.20011623203754425,0.8167967587439146,0.8512319854833694,1.3524381834866188,7.05537748336792,0.499,0
3,0.28556952747395925,0.19144177436828613,0.8252746341766037,0.8570859303046465,1.4905984632493952,3.299360513687134,0.496,0
4,0.2741561570354691,0.1685543656349182,0.8362300204630944,0.8792026181172998,1.5874483755993654,4.462724685668945,0.501,0
5,0.27133225958234086,0.176122784614563,0.8442067277058889,0.8791700498779098,1.6089949210746937,4.6838507652282715,0.495,0
6,0.2606359433019067,0.1669330894947052,0.850394744242314,0.8848512184205998,1.6554503353179917,5.280292510986328,0.502,0
7,0.2581438052327935,0.17736724019050598,0.8487198936473402,0.8757732704106664,1.6927740647012766,5.5752387046813965,0.506,0
8,0.25312983278077006,0.16455666720867157,0.853060125263909,0.880015475472887,1.715504867027177,5.76627779006958,0.504,0
9,0.24650565783510422,0.15253649652004242,0.8575515346883552,0.8989218395817489,1.6990349740183133,4.926794052124023,0.503,0
10,0.24401946409082034,0.1555050164461136,0.8640324798386061,0.8934678894149032,1.740754011635101,4.830854415893555,0.498,0
11,0.24119689807512043,0.1637144386768341,0.8698045082827629,0.886200046474932,1.779566335568013,4.722017288208008,0.502,0
12,0.2401813223446894,0.16033785045146942,0.8668837182199246,0.8895419689147609,1.8463367460428253,4.950667381286621,0.504,0
13,0.2375655947375974,0.15450824797153473,0.8630015508569604,0.8953768200939802,1.86689002155314,6.24233865737915,0.501,0
14,0.2380362487149899,0.1517770141363144,0.878757285299952,0.9000225743348519,1.8381652246207234,8.909645080566406,0.501,0
15,0.23480577883863513,0.16495579481124878,0.8717177263942743,0.8918228832625662,1.8595169935188696,9.31097412109375,0.502,0
16,0.2340600379695993,0.14948654174804688,0.8770713991539559,0.8940427060356204,1.8252698887621193,5.741032600402832,0.499,0
17,0.23150459231715403,0.14380106329917908,0.8819623709629899,0.9044403465127434,1.8185369031095882,4.814250946044922,0.498,0
18,0.2334188541058343,0.15456639230251312,0.8790477784852411,0.8935148810168485,1.8148969737395133,5.048781871795654,0.532,0
19,0.2313537023922227,0.14205831289291382,0.8790289650105121,0.9041072995963906,1.82008782414459,6.145485877990723,0.552,0
20,0.23007695116397572,0.14682120084762573,0.8777067033288528,0.904447879236487,1.8181920330725747,4.943388938903809,0.554,0
21,0.23184483930822414,0.1451004445552826,0.8885931953781385,0.904305850929545,1.8389084242421907,6.881803035736084,0.537,0
22,0.22911581928819655,0.15309564769268036,0.8805114053864241,0.8977690667346032,1.7585024394507773,5.2887067794799805,0.503,0
23,0.2272864899605434,0.14694349467754364,0.884926643757089,0.9020694544933191,1.7872590118709528,5.4030632972717285,0.506,0
24,0.22671576264980287,0.15050312876701355,0.8852476742576733,0.9032272271789414,1.7758109580558334,4.804701328277588,0.498,0
25,0.22644887636550812,0.15380345284938812,0.8850327375617687,0.8999965418027861,1.8152599412957722,6.727933406829834,0.494,0
26,0.22820135180428033,0.13930226862430573,0.8812037933775795,0.906106704045694,1.809982025686229,7.044429779052734,0.498,0
27,0.2236244450458436,0.14737102389335632,0.8871877280698226,0.9065980975872678,1.7916151497876738,5.890185832977295,0.497,0
28,0.2271413858439331,0.15124739706516266,0.8867522288833987,0.9016595076724618,1.8330031043621355,6.901885509490967,0.505,0
29,0.22603416299363868,0.15227295458316803,0.8884488888686054,0.9017836585678833,1.7842033265212596,13.338098526000977,0.503,0
30,0.2236036490501546,0.16188976168632507,0.8705224364682405,0.8876826462811428,1.7816395112030738,5.202583312988281,0.513,0
31,0.22256565729947392,0.14597584307193756,0.8806883669987918,0.9015952028244724,1.761572008161243,6.143037796020508,0.497,0
32,0.22304152386720075,0.1512340009212494,0.87899877833357,0.9053927862213528,1.7504385424320805,9.209742546081543,0.498,0
33,0.22297052469959674,0.13542711734771729,0.890081109568914,0.9147641720053517,1.7589969463587436,6.919332027435303,0.497,0
34,0.22365902655200154,0.14909087121486664,0.8816519196991541,0.9006679582124593,1.7608992953570977,8.39205551147461,0.497,0
35,0.22084341415432637,0.14243853092193604,0.881654016590278,0.9052965329122318,1.7209504813663563,5.488152027130127,0.501,0
36,0.2231704469691559,0.1439841389656067,0.8891185533698366,0.9051907843517362,1.6799351179819937,7.952818393707275,0.498,0
37,0.2228094843120405,0.14232562482357025,0.885062896279445,0.9085075016669344,1.719855578876737,5.238248348236084,0.505,0
38,0.22406613775639547,0.14388775825500488,0.8933530894250993,0.9079660495891704,1.6969197317761293,6.945502758026123,0.5,0
39,0.21971624393733635,0.15422843396663666,0.8838077682741723,0.9046507801188242,1.6832002345521722,5.5261359214782715,0.501,0
40,0.22144553960745755,0.1420670449733734,0.8931814155045509,0.9090356572323044,1.685334148853624,11.28485107421875,0.505,0
41,0.2173376524363863,0.14732494950294495,0.891390913296583,0.9004630542196654,1.6460575840403977,4.304728031158447,0.499,0
